idsp,sku,name,brand_name,price,short_description
139815379,8532109252344,"Laptop MSI Modern 14 B11MOU-460VN (i7-1165G7, Ram 8GB, SSD 512GB, 14 inch FHD, Win 10) Hàng chính hãng",MSI,21990000,"Hoàn thành xuất sắc mọi công việc với hiệu suất đỉnh cao
Sức mạnh của MSI Modern 14 B11MO khiến tất cả phải bất ngờ khi máy trang bị bộ vi xử lý “trùm cuối” Intel Core i7 1165G7. Đây là con chip mới..."
108591561,7704951705268,"Laptop HP 340s G7 224L1PA i3 1005G1 | 4GB RAM | 512GB SSD | 14"" FHD | Win 10 | Xám - Hàng Chính Hãng",HP,13890000,"
 
 
  
   Thông số kỹ thuật:
   RAM: 4GB(1 x 4GB) DDR4 2666Mhz (2 khe)
   Ổ cứng: 512GB PCIe NVMe SSD
   Màn hình: 14.0 inch FHD (1920 x 1080), IPS, anti-glare, 250 nits, 45% NTSC
   Pin: 3-cell, 41..."
49206793,4869523489732,"Microsoft Surface Laptop 3 (Core i5-1035G7/13"") - Hàng Nhập Khẩu",Microsoft,24490000,"
Microsoft Surface Laptop 3 – Sự nâng cấp mới mẻ cho dòng Ultrabook
Microsoft Surface Laptop 3 (Core i5-1035G7/13"") sở hữu thiết kế ấn tượng và có nhiều sự thay đổi lớn, đặc biệt là phần rê chuột đã..."
95996882,2117388978250,EDXIS CHROMEBOOK11 (S20-C) - Hàng nhập khẩu,Intel,14087040,"Operating System Chrome OS11.6"" inch 1366 x 768 resolution 16:9 HD LED Anti-Glare ( Chromebook 11 - S20-CS) /HD Touchscreen ( Chromebook 11 - S20-CT)Intel Dual Band Wireless / Bluetooth 802.11..."
115013249,7916564624219,Laptop Dell Latitude 3420 (L3420I5SSD) (i5 1135G7 8GB RAM/256GB SSD/14.0 inch HD/Fedora/Đen)- Hàng chính hãng,Dell,19999000,"Laptop Dell Latitude 3420 (L3420I5SSD) (i5 1135G7 8GB RAM/256GB SSD/14.0 inch HD/Fedora/Đen)
Laptop Dell Latitude 3420 được thiết kế với kiểu dáng đơn giản, cứng cáp, sản phẩm có trọng lượng tương..."
136959272,3892425863187,Laptop Dell XPS 13 9310 70262931 (Core i5-1135G7/8GB/256GB/Intel Iris Xe/13.4-inch FHD/Cảm ứng/Win 10/Bạc) - Hàng chính hãng,Dell,41990000,"Dell XPS 13 9310 2in1 70262931 được thiết kế nhỏ gọn có thể giúp bạn mang  đi mọi nơi, phong cách phù hợp với nhiều đối tượng. 
Dell XPS 13 9310 2in1 70262931 được trang bị bộ xử lý Intel Core..."
129937277,6794012186052,Laptop Dell Vostro 3510 7T2YC1 (Core i5-1135G7/ 8GD4/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,20990000,"Thiết kế &amp; ngoại hình
Laptop Dell Vostro 3510 7T2YC1 có thiết kế đơn giản- bền bỉ sẽ là 2 tính từ phù hợp nhất để miêu tả chung về thiết kế của Dell Inspiron 3510. Vỏ máy được bao phủ bởi một lớp..."
21045531,2113442336762,"Máy tính xách tay Lenovo ThinkPad X280,i5  Hàng chính hãng",Lenovo,20500000,"THÔNG SỐ KỸ THUẬT





Bộ vi xử lý (CPU) 




Tên bộ vi xử lý


Intel Core i5-8250U Processor 




Tốc độ


1.60 GHz up to 3.40 GHz




Bộ nhớ đệm


6Mb Cache




Bộ nhớ trong ()




Dung lượng


8GB..."
72543015,4855867715895,Laptop Dell Latitude 3410 L3410I5SSD (Core i5-10210U/ 8GB RAM/ 256GB SSD/ 14 HD/ Fedora) - Hàng Chính Hãng,Dell,18490000,"Thiết kế sang trọng
Laptop Dell Latitude 3410 L3410I5SSD được thiết kế đơn giản, sang trọng với  vỏ ngoài được phủ sơn màu đen và các cạnh bên được vát mỏng, các đường nét góc cạnh được bo tròn gọn..."
127380504,4365506440169,Laptop Dell Vostro 3400 (70253899) (i3-1115G4 | 8GB | 256GB | Intel UHD Graphics | 14' FHD | Win 10 | Office) -Hàng Chính Hãng,Dell,14190000,"Gọn gàng, tinh tế trên từng đường nét máyĐược chế tác từ lớp vỏ nhựa cứng cáp cùng những đường nét bo tròn tinh tế, Dell Vostro luôn gây ấn tượng với người dùng với thần thái kiêu sa, sang chảnh, nổi..."
81503768,6389285287488,Laptop Dell Vostro 3500 V3500A (Core i5-1135G7/ 4GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ MX330 2GB GDDR5/ Win10) - Hàng Chính Hãng,Dell,19990000,"Thiết kế mạnh mẽ
Laptop Dell Vostro 3500 V3500A là dòng laptop Dell đầu tiên được thiết đặc biệt dành cho các doanh nghiệp nhỏ, đem tới cho người dùng sự linh hoạt để chọn chính xác chiếc PC mà người..."
97045023,2478773217449,Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F (Core i5-1035G1/ 4GB DDR4 2666MHz/ 256GB SSD M.2 PCIE/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,Acer,14290000,"Thiết kế nhỏ gọn bắt mắt
Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F có thiết kế màu sắc nổi bật trẻ trung cực thu hút ánh nhìn và trong từng cái chạm, Aspire 3 với trọng lượng ấn tượng chưa đến..."
97007191,1698396794821,Laptop HP ProBook 430 G8 2H0P0PA (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,HP,25290000,"Thiết kế linh hoạt, cứng cáp
Laptop HP ProBook 430 G8 2H0P0PA với thiết kế cứng cáp, bảo mật dễ và nhiều tính năng được nâng cấp, chiếc laptop này voô cùng phù hợp với môi trường doanh nghiệp. Là một..."
121405793,2486231413563,Laptop Acer Aspire A514 54 53T8 i5 1135G7/8GB/1TB SSD/Win10 (NX.A2ASV.006) - Hàng chính hãng,Acer,19990000,"Acer Aspire A514 54 53T8 i5 (NX.A2ASV.006) mang hiệu năng mạnh mẽ từ bộ vi xử lý Intel thế hệ 11 và sở hữu vóc dáng thanh lịch sang trọng, đây là một sản phẩm hứa hẹn sẽ đem lại trải nghiệm học tập,..."
87004942,8219864644115,Laptop HP 340s G7 i7-1065G7/8GD4/256GSSD/14.0FHD/FP/WL/BT/3C41WHr/XÁM/W10SL_36A36PA Hàng chính hãng,HP,20990000,"Model: 36A36PA_DCPU: Intel Core i7-1065G7RAM/SSD: 8GB DDR4 /256GB SSDVGA : Intel UHD GraphicsMàn hình: 14 Inch Full HDHệ điều hành:Windows 10 HomeMàu sắc:Xám
HP là một trong những thương hiệu laptop..."
77694537,2962178301698,Laptop Dell Vostro 3400 70235020 (Core i3-1115G4/ 8GB/ 256GB SSD/ 14 FHD/ Win10) - Hàng Chính Hãng,Dell,15000000,"Thiết kế mỏng nhẹ, luôn đồng hành bên bạn
Công việc của bạn yêu cầu thường xuyên phải di chuyển, cần một chiếc laptop thực sự gọn nhẹ. Laptop Dell Vostro 3400 70235020 chính là một sản phẩm như vậy..."
146146583,3813274118085,Laptop HP Zbook Firefly 14 G8 (1A2F1AV) (i5 1135G7/16GB RAM/512GB SSD/14 FHD/Win10 Pro/Bạc) - Hàng chính hãng,HP,34890000,"CPU: Intel Core i5-1135G7 (upto 4.20 GHz, 8MB)
RAM: 16GB DDR4-3200Mhz
Ổ cứng: 512GB M.2 2280 PCIe NVMe SSD
VGA: Intel Iris Xe Graphics
Màn hình: 14 inch FHD (1920x1080) LED UWVA Anti-Glare for WWAN..."
141322626,1969355727438,Laptop Lenovo IdeaPad 3 15ITL6 82H80042VN (Core i5-1135G7/ 8GB DDR4/ 512GB SSD/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Lenovo,18490000,"Laptop Lenovo IdeaPad 3 15ITL6 82H80042VN INTEL CORE I5 1135G7 8GB 512 SSD FULL HD 15.6 INCH
Hệ điều hành : Windows 10 Home SL
Bộ vi xử lý : Intel Core i5-1135G7 Processor (.2.4GHz Up to 4.2 GHz,..."
129602068,4848751010735,Laptop Dell Inspiron 3505 Y1N1T3 (AMD R3-3250U/ 8GB/ 256SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,14890000,"
Laptop Dell Inspiron 15 3505 Y1N1T3
Thông số kỹ thuật : 




Thương hiệu
Dell


Model
Inspiron 15 3505 Y1N1T3


Màu sắc
Đen


Bộ vi xử lý
AMD Ryzen 3 3250U (2.6Ghz/4MB cache)


RAM
8GB DDR4 2400Mhz..."
81508726,3201079602948,Laptop Acer Aspire 5 A514-54-540F NX.A28SV.005 (Core i5-1135G7/ 8GB (4GBx2) DDR4 2666MHz/ 512GB SSD M.2 PCIE/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Acer,18000000,"Mạnh, bền bỉ, trẻ trung đa sắc màu
Laptop Acer Aspire 5 A514-54-540F NX.A28SV.005 (Core i5-1135G7/ 8GB (4GBx2) DDR4 2666MHz/ 512GB SSD M.2 PCIE/ 14 FHD IPS/ Win10) - Hàng Chính Hãng - Acer vừa cho ra..."
97034085,7724431678732,Laptop HP ProBook 430 G8 2H0N7PA (Core i5-1135G7/ 4GB DDR4 3200MHz/ 512GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,HP,20990000,"Thiết kế hiện đại cho phong cách làm việc hiện đại
Laptop HP ProBook 430 G8 2H0N7PA (Core i5-1135G7/ 4GB DDR4 3200MHz/ 512GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng với thiết kế mới mẻ,..."
126507499,2853883437906,Laptop Lenovo IdeaPad 3 14ITL6 i3-1115G4 14 inch 82H700DNVN - Hàng chính hãng,Lenovo,14490000,"
Trải nghiệm hình ảnh sắc nét trên màn hình Full HD
Laptop Lenovo IdeaPad 3 14ITL6 i3-1115G4 14 inch 82H700DNVN trang bị màn hình 14 inch với viền mỏng cho không gian trải nghiệm hình ảnh rộng rãi..."
108336898,8726239927616,Laptop HP 15s-fq2558TU 46M26PA (Core i7-1165G7/ 8GB (4x2) DDR4 3200MHz/ 512GB PCIe NVMe M.2 SSD/ 15.6 SVA/ Win11) - Hàng Chính Hãng,HP,18759000,"Vẻ ngoài công sở đầy tinh tế
Laptop HP 15s-fq2558TU 46M26PA rất phù hợp với học sinh - sinh viên lẫn dân văn phòng vì thiết kế linh hoạt, gọn nhẹ và tiện lợi. Vỏ ngoài của HP..."
118526595,4433288682497,Laptop Dell Vostro 3405 V4R53500U001W (AMD R5-3500U/ 4GB/ 256GB PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,Dell,15099000,"

Laptop Dell Vostro 14 3405 (3405-V4R53500U001W) là thế hệ máy tính được cải tiến về hiệu năng nhằm tối ưu khả năng xử lý thông tin một cách nhanh chóng. Với thiết kế mang tính cơ động cao nhờ trọng..."
140318209,6248135104119,Laptop Acer Aspire 5 A514-54-540F (NX.A28SV.005) (i5 1135G7/8GB RAM/512GB SSD/14.0 inch FHD/Win10/Bạc) - Hàng chính hãng,Acer,18990000,"
CPU: Intel Core i5-1135G7 (tối đa 4.20GHz, 8MB)
 

RAM: 8GB DDR4 2666Mhz (4GB onboard + 4GB So-dim)
 

Ổ cứng: 512GB PCIe NVMe SSD
 

VGA: Intel Iris Xe Graphics
 

Màn hình: 14.0 inch..."
138919075,6339039960296,"Laptop Lenovo Ideapad Slim 3 14IIL05 81WD005KVN | Core i3 _ 1005G1 | 8GB | 512GB SSD PCIe | Win 10 | 14.0"" FHD IPS | Hàng Chính Hãng",Lenovo,13490000,"Hệ điều hành : Windows 10 Home SL
Bộ vi xử lý : Intel Core i3-1005G1(1.2 GHz base frequency, up to 3.4 GHz with Intel Turbo Boost Technology, 4 MB cache, 2 cores))
Màn hình : 14 inch Full HD (1920 x..."
110867583,2599298870856,Laptop Dell Vostro 5402 (V5402A) (i5 1135G7/ 8GB RAM/256GB SSD/MX330 2G/14.0 inch FHD/Win10/Xám) Hàng chính hãng,Dell,22290000,"CPU: Intel Core i5-1135G7 (tối đa 4.20GHz, 8MB)RAM: 8GB (1x8GB) DDR4 3200MHz ( 2 khe)Ổ cứng: 256GB M.2 PCIe NVMe SSDVGA: Nvidia MX330 2GB GDDR5Màn hình: 14.0-inch FHD (1920 x 1080) An ti-glare LED..."
92555400,2715321028869,Cáp Kết Nối Chuân USB 2.0 Qua Chân Simline Sata Của Ổ Đĩa DVD,OEM,115700,"
 
 
  
   2. Suitable cho SATA 13Pin CD DVD ROM Lái Xe;
   4. Backwardly tương thích với USB 1.0;
   6. kích thước Cầm Tay, easy và thuận tiện để mang theo và sử dụng
   Hệ Thống 7. Operating Hỗ..."
87004942,8219864644115,Laptop HP 340s G7 i7-1065G7/8GD4/256GSSD/14.0FHD/FP/WL/BT/3C41WHr/XÁM/W10SL_36A36PA Hàng chính hãng,HP,20990000,"Model: 36A36PA_DCPU: Intel Core i7-1065G7RAM/SSD: 8GB DDR4 /256GB SSDVGA : Intel UHD GraphicsMàn hình: 14 Inch Full HDHệ điều hành:Windows 10 HomeMàu sắc:Xám
HP là một trong những thương hiệu laptop..."
140758658,2708474127350,Laptop Dell Inspiron 5510 0WT8R2 (Core i5-11320H/ 8GB DDR4/ 256GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,21749000,"Sở hữu thiết kế mỏng nhẹ và thanh lịch
Laptop Dell Inspiron 5510 0WT8R2 sở hữu trọng lượng 1.63 kg và dày 17.9 mm, với lớp vỏ được chế tác từ nhựa bền bỉ cùng nắp lưng từ kim loại cao cấp, mang đến..."
142795841,2107829282800,Laptop Dell Inspiron 5515 N5R75700U104W (AMD R7-5700U/ 8GB/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,21849000,"
Thiết kế bắt mắt, có nhiều thay đổi tích cực
Laptop Dell Inspiron 5515 N5R75700U104W có phần vỏ được làm từ nhôm; đem lại cảm giác cao cấp, an tâm và giúp máy tối ưu hơn về trọng lượng. Bản lề máy..."
88778074,8702615621764,Chân Đế Đỡ Laptop Nillkin Bolster Portable Stand cho Laptop Macbook / Laptop Surface / Laptop Asus / Laptop HP / Laptop Dell / Laptop Lenovo / Laptop LG / Laptop Acer / Laptop MSI - Hàng Nhập Khẩu,Nillkin,149000,"Tư thế không tốt khi sử dụng máy tính xách tay có thể dẫn đến tê cứng vai gáy, thậm chí gây ra các bệnh về vai gáy. Góc nghiêng vàng 12° giúp bảo vệ cột sống cổ và giúp việc gõ phím thoải mái hơn. Sử..."
120782190,9168518423896,"Giá đỡ / Đế đỡ tản nhiệt dành cho laptop, macbook, máy tính bảng gấp gọn tiện dụng + tặng kèm túi đựng, ( Giao màu ngẫu nhiên )- Hàng chính hãng",MAWA,172000,"Giá đỡ / Đế đỡ tản nhiệt dành cho laptop, macbook, máy tính bảng gấp gọn tiện dụng ( Giao màu ngẫu nhiên )- Hàng chính hãng
THÔNG TIN SẢN PHẨM
- Màu sắc : Shop giao màu ngẫu nhiên ( Trắng bạc ,Hồng,..."
141490338,6276178142509,"Laptop ACER ASPIRE 5 A514-54-33WY (NX.A23SV.00J) CORE I3 1115G4/4G/256G/14"" - Hàng chính hãng",Acer,13990000,"Hệ điều hành : Windows 10 Home SL
Bộ vi xử lý : Intel Core i3-1115G4 (1.7 GHz base frequency, up to 4.1 GHz with Intel Turbo Boost Technology, 6 MB cache, 2 cores)
Màn hình : 14 inch Full HD (1920 x..."
72761522,1837546183490,"LapTop Lenovo ThinkBook 15 IIL 20SM00D9VN | Core i3 _ 1005G1 | 4GB | 512GB SSD PCIe | Win 10 | 15,6'' FHD IPS | Hàng Chính Hãng",Lenovo,13690000,"Thông Số Kỹ ThuậtCPU 10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, Up to 3.40 GHz)Memory 4GB DDr4 Bus 2666Mhz (1 x Slot RAM)Hard Disk 512GB PCIe NVMe M.2 SSD (Support x 1..."
146563301,4430421908667,LapTop Lenovo V14 IIL (82C400W0VN) | Intel Core i3 _ 1005G1 | 4GB | 256GB SSD PCIe | Win 10 | 14 inch HD | Hàng Chính Hãng,Lenovo,11990000,"THÔNG SỐ KỸ THUẬT







CPU
10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, Up to 3.40 GHz)


Memory
4GB DDr4 Bus 2666Mhz Onboard (1 x Slot RAM)


Hard Disk
256GB PCIe NVMe..."
143337289,6551951582517,Laptop Lenovo Thinkpad X13 Gen 2 20WK00CUVA (Core i7-1165G7/8GB/512GB/Intel Iris Xe/13.3 inch WQXGA/FreeDos/Đen) Hàng chính hãng,Lenovo,35990000,"Laptop Lenovo Thinkpad X13 Gen 2 20WK00CUVA
 là chiếc laptop có thiết kế sang trọng cùng hiệu năng làm việc ổn định và nhanh chóng, hỗ trợ bạn đạt kết quả cao trong học tập và làm việc. 
Thiết kế..."
147673899,6124935749681,Laptop Dell Vostro 3510 V5I3305W (Core i3-1115G4/8GB/256GB/Intel UHD/15.6-inch FHD/Win 11/Office H&S/Đen)-Hàng chính hãng,Dell,15990000,"


Bộ xử lý




Công nghệ CPU:Intel Core i3 Tiger Lake - 1115G4




Số nhân:2




Số luồng:4




Tốc độ CPU:3.00 GHz




Tốc độ tối đa:Turbo Boost 4.1 GHz




Bộ nhớ đệm:6 MB






Bộ nhớ RAM, Ổ..."
72543015,4855867715895,Laptop Dell Latitude 3410 L3410I5SSD (Core i5-10210U/ 8GB RAM/ 256GB SSD/ 14 HD/ Fedora) - Hàng Chính Hãng,Dell,18490000,"Thiết kế sang trọng
Laptop Dell Latitude 3410 L3410I5SSD được thiết kế đơn giản, sang trọng với  vỏ ngoài được phủ sơn màu đen và các cạnh bên được vát mỏng, các đường nét góc cạnh được bo tròn gọn..."
37889069,8051802042936,Apple Macbook Pro Touch Bar 2019 MV962 - 13 Inchs (i5/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,36490000,"Thiết kế cao cấp, sang trọng
Apple Macbook Pro Touch Bar 2019 - 13 Inchs (i5/ 8GB/ 256GB) được thiết kế sang trọng, tinh tế với khung làm bằng hợp kim nhôm đảm bảo được toàn bộ kiến trúc của máy có..."
97034083,8635795512384,Laptop HP ProBook 430 G8 2H0N8PA (Core i5-1135G7/ 8GB DDR4 3200MHz/ 256GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,HP,20990000,"Thiết kế hiện đại cho phong cách làm việc hiện đại
Laptop HP ProBook 430 G8 2H0N8PA (Core i5-1135G7/ 8GB DDR4 3200MHz/ 256GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng với thiết kế mới mẻ,..."
97034085,7816547019605,Laptop HP ProBook 430 G8 2H0N7PA (Core i5-1135G7/ 4GB DDR4 3200MHz/ 512GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng,HP,19019000,"Thiết kế hiện đại cho phong cách làm việc hiện đại
Laptop HP ProBook 430 G8 2H0N7PA (Core i5-1135G7/ 4GB DDR4 3200MHz/ 512GB SSD PCIe NVMe/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng với thiết kế mới mẻ,..."
117078846,7092750263137,Laptop Dell Vostro 5402 (V4I5003W) (i5 1135G7 8GBRAM/256GB SSD/14.0 inch FHD/Win10/Xám) - Hàng chính hãng,Dell,20490000,"Laptop Dell Vostro 5402 (V4I5003W) (i5 1135G7 8GBRAM/256GB SSD/14.0 inch FHD/Win10/Xám) 

Dell Vostro 5402 tuy không phải là dòng laptop mỏng hay nhẹ nhất nhưng bạn vẫn phải ngỡ ngàng với trọng lượng..."
118526695,1650622910066,Laptop Dell Vostro 3405 V4R53500U003W(AMD R5-3500U/ 8GB/ 512GB PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,Dell,16890000,"

Laptop Dell Vostro 14 3405 (3405-V4R53500U003W) là thế hệ máy tính được cải tiến về hiệu năng nhằm tối ưu khả năng xử lý thông tin một cách nhanh chóng. Với thiết kế mang tính cơ động cao nhờ trọng..."
92621084,9987138260793,Laptop LG Gram 2021 17ZD90P-G.AX71A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 17 WQXGA IPS/ NonOS) - Hàng Chính Hãng,LG,42990000,"Thiết kế mỏng nhẹ hơn bao giờ hết
Laptop LG Gram 2021 17ZD90P-G.AX71A5 với thiết kế hoàn toàn mới sẽ giúp tối ưu hóa năng suất làm việc của người dùng nhờ vào sự hiển thị chuyên nghiệp từ tỉ lệ..."
8285447,8660578448905,Microsoft Surface Pro 2018 - Core i5-8250U/8G/128GB - Hàng Chính Hãng,Microsoft,22500000,"
Nâng tầm sức mạnh
Microsoft Surface Pro 2018 là một kiệt tác đầy tính sáng tạo, vượt ra khỏi những khuôn khổ của một chiếc laptop. Bước sang thế hệ thứ 6, với những cải tiến mạnh mẽ về sức mạnh..."
125013938,5244909000196,Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,35990000,"


Nội dung tính năng
Macbook Pro 13 inch thay đổi ngoạn mục nhờ chip Apple M1, với sức mạnh xử lý tăng thêm đến 2.8x, (1) tốc độ xử lý đồ họa nhanh hơn 5x1 cùng thời lượng pin lên đến 20 giờ – thời..."
124742926,8683178117998,Apple MacBook Air M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,30590000,"
Nội dung tính năng
MacBook Air là máy tính xách tay mỏng và nhẹ nhất của Apple – nay thay đổi ngoạn mục với chip Apple M1 mạnh mẽ. Tạo ra một cú nhảy vọt về hiệu năng CPU và đồ họa, cùng thời lượng..."
134840901,2798750348508,Laptop Acer Swift 3 Evo SF314-511-59LV (Core i5-1135G7/ 16GB/ 512GB SSD M.2 PCIE Gen3x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Acer,23990000,"Màn hình trực quan
Laptop Acer Swift 3 Evo SF314-511-59LV cho bạn đắm mình trong giải trí mà bạn đã chọn với viền siêu hẹp 5,1 mm cho tỷ lệ màn hình trên thân máy lên đến 85,73%. Với tuỳ chọn tối đa..."
139815379,8532109252344,"Laptop MSI Modern 14 B11MOU-460VN (i7-1165G7, Ram 8GB, SSD 512GB, 14 inch FHD, Win 10) Hàng chính hãng",MSI,21990000,"Hoàn thành xuất sắc mọi công việc với hiệu suất đỉnh cao
Sức mạnh của MSI Modern 14 B11MO khiến tất cả phải bất ngờ khi máy trang bị bộ vi xử lý “trùm cuối” Intel Core i7 1165G7. Đây là con chip mới..."
121405787,5111129989839,Laptop Acer Nitro 5 Gaming AN515 57 74NU i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Balo/Win10 (NH.QD9SV.001.) - Hàng chính hãng,Acer,29990000,"Acer Nitro 5 Gaming AN515 57 74NU i7 (NH.QD9SV.001.) mang thiết kế cá tính, nổi bật, trang bị dòng CPU thế hệ thứ 11 cho hiệu năng mạnh mẽ ấn tượng, giải quyết mượt mà từ các thiết kế đồ họa cơ bản..."
53827004,9105650025623,Laptop Acer Aspire A315-56-59XY NX.HS5SV.003 (Core i5 1035G1/ 4GB RAM/ 256GB SSD/ 15.6  FHD/  Win 10) - Hàng Chính Hãng,Acer,12870000,"Thiết kế trẻ trung phong cách
Laptop Acer Aspire A315-56-59XY NX.HS5SV.003 (Core i5 1035G1/ 4GB RAM/ 256GB SSD/ 15.6 FHD/ Win 10) Hàng Chính Hãng với thiết kế có màu sắc chủ đạo cực kỳ nổi bật và trẻ..."
92621088,4289436207391,Laptop LG Gram 2021 17Z90P-G.AH76A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,52900000,"Thiết kế mỏng nhẹ hơn bao giờ hết
Laptop LG Gram 2021 17Z90P-G.AH76A5 với thiết kế hoàn toàn mới sẽ giúp tối ưu hóa năng suất làm việc của người dùng nhờ vào sự hiển thị chuyên nghiệp từ tỉ lệ 16:10,..."
143061390,3823475096007,Laptop Acer Gaming Aspire 7 A715-42G-R1SB- Hàng chính hãng ,Acer,20990000,"
CPU AMD Ryzen R5-5500U (8MB, up to 4.00GHz)
RAM 8GB DDR4 3200MHz (1x8GB)
SSD 256GB PCIe NVMe
VGA NVIDIA GeForce GTX 1650 4GB GDDR6
Display 15.6Inch FHD IPS Anti-Glare 144Hz
Pin 48WHrs
Color Black..."
51428073,3734031132209,Laptop LG Gram 2020 17Z90N-V.AH75A5 (Core i7-1065G7/ 8GB/ 512GB NVMe/ 17 WQXGA IPS (2560*1600)/ Win10 Home Plus/ Silver) - Hàng Chính Hãng,LG,34490000," 


Thiết kế siêu nhẹ với kích thước màn hình lớn
Laptop LG Gram 2020 17Z90N-V.AH75A5 (Core i7-1065G7/ 8GB/ 512GB NVMe/ 17 WQXGA IPS (2560*1600)/ Win10 Home Plus/ Silver) không chỉ sở hữu trọng lượng..."
143296947,8524654044901,Laptop HP 240 G8 518V5PA (Core i5-1135G7 | 4GB | 256GB | Intel Iris Xe | 14.0 inch FHD | Win 10 | Bạc) - Hàng Chính Hãng,HP,16690000,"Thiết kế
Được chế tác từ lớp vỏ nhựa bền bỉ cùng sắc bạc hiện đại, HP 240 G8 518V5PA sở hữu lối thiết kế trang nhã, phù hợp với mọi lứa tuổi đặc biệt là phân khúc học sinh, sinh viên và dân văn..."
121245281,7216816136619,Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,25990000,"
Đánh giá chi tiết MacBook Air 13,3"" 2020 M1 256GB
Chiếc MacBook Air có hiệu năng đột phá nhất từ trước đến nay đã xuất hiện. Bộ vi xử lý Apple M1 hoàn toàn mới đưa sức mạnh của MacBook Air M1 13,3..."
108924121,5339538889617,"Laptop Dell Latitude 3520 - 70251603 Đen (Cpu i3 1115G4, Ram 4GB, SSd 256GB, 15.6 inch HD, Fedora) - Hàng chính hãng",Dell,14990000,"CPU: Intel Core i3-1115G4 (upto 4.10GHz, 6MB)RAM: 4GB(4GBx1) DDR4 3200MHz ( 2 Khe)Ổ cứng: 256GB M.2 256GB PCIe NVMeVGA: Intel UHD GraphicsMàn hình: 15.6 inch HD (1366 x 768) AG Non-Touch, 220nitsPin:..."
133697603,4285116155354,Laptop Dell Vostro 3405 (V4R53500U003W) (R5 3500U 8GB RAM/512GB SSD/14.0 inch FHD/Win10/Đen) - Hàng chính hãng,Dell,17390000,"Đánh giá Laptop Dell Vostro 3405 (V4R53500U003W)
Cấu Hình Cao
Mẫu máy tính chất lượng này mang tới trải nghiệm tuyệt vời cho người sử dụng nhờ sở hữu cấu hình đáp ứng tốt các nhu cầu giải trí, học..."
139106496,8333384397409,"Laptop MSI Modern 15 A11MU-678VN (Core i5-1155G7 8GB/512GB SSD/ 15.6"" FHD/WIN10) Hàng chính hãng",MSI,19990000,"Kiểu dáng thanh lịch, sang trọng 
MSI Modern 14 được chế tạo trong khung vỏ nhôm siêu nhẹ với trọng lượng chỉ ~ 1.3kg và rất mỏng chỉ 16.9mm - Đúng tiêu chí sản xuất hàng đầu là di động và bền bỉ mọi..."
42892572,8694700455554,Laptop Acer Aspire 3 A315-54-52HT NX.HM2SV.002 (Core i5-10210U/ 4GB DDR4 2133MHz Onboard/ 256GB SSD M.2 PCIE/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Acer,15490000,"Thiết kế đơn giản, thanh lịch và gọn nhẹ
Nếu như thiết kế của dòng Aspire 3 trước đây không có gì ấn tượng thì Laptop Acer Aspire 3 A315-54-52HT NX.HM2SV.002 (Core i5-10210U/ 4GB DDR4 2133MHz..."
