name,mileage,stars,reviews,price,dealer_name
2014 BMW X3 xDrive28i,"71,126 mi.",3.9,160 ,"$19,534",City Mitsubishi
2020 BMW M340 i xDrive,"12,167 mi.",4.6,"1,559 ","$54,990",AutoNation Honda Dulles
2018 BMW M5 Base,"24,379 mi.",4.4,124 ,"$82,998",Beemer Haus
2018 BMW M2 Base,"26,000 mi.",4.5,614 ,"$50,995",United BMW
2019 BMW X7 xDrive40i,"27,987 mi.",4.4,726 ,"$71,990",BMW of Alexandria
2018 BMW X1 sDrive28i,"24,642 mi.",4.6,672 ,"$29,558",Auto Web Expo
2021 BMW X3 xDrive30i,"12,872 mi.",4.7,803 ,"$45,119",Tulley Automotive Group
2017 BMW 340 i xDrive,"47,131 mi.",4.1,17 ,"$32,995",Sawyer Lyons Buick GMC of Randolph
2019 BMW M240 i,"20,539 mi.",4.8,741 ,"$46,432",Lauderdale BMW of Pembroke Pines
2018 BMW X1 xDrive28i,"7,855 mi.",4.7,271 ,"$33,899",BMW of Ramsey
2016 BMW 750 i xDrive,"46,300 mi.",4.4,526 ,"$41,989",KDK Mitsubishi
2018 BMW M3 Base,"42,953 mi.",4.8,374 ,"$68,615",Kia of Augusta
2014 BMW 428 i xDrive,"79,615 mi.",4.2,68 ,"$22,981",Showroom Auto Sales
2018 BMW X5 M Base,"34,882 mi.",2.7,20 ,"$59,950",26 Motors Long Island
2007 BMW 750 Li,"69,096 mi.",4.7,"1,279 ","$11,010",Jeff Wyler Toyota of Clarksville
2019 BMW 740 i,"31,281 mi.",4.4,542 ,"$55,984",Advantage BMW Midtown
2019 BMW X3 sDrive30i,"24,647 mi.",4.5,97 ,"$41,600",Passport Motors
2021 BMW X3 xDrive30i,"11,967 mi.",4.8,822 ,"$45,473",South Shore BMW
2016 BMW 428 i,"49,265 mi.",3.6,387 ,"$23,495",Certified Luxury Motors
2018 BMW 330 i xDrive,"14,506 mi.",4.7,706 ,"$38,355",BMW of Warwick
2019 BMW 330 i xDrive,"24,474 mi.",4.8,"1,769 ","$42,543",Autobahn USA
2019 BMW 540 i xDrive,"19,425 mi.",4.9,"2,686 ","$55,577",Bill Jacobs BMW
2018 BMW M5 Base,"27,871 mi.",4.4,124 ,"$82,998",Beemer Haus
2018 BMW M3 Base,"16,779 mi.",4.7,"7,289 ","$69,921",BMW of Sarasota
2019 BMW 530 i,"20,891 mi.",4.5,443 ,"$42,997",BMW North Scottsdale
2019 BMW X5 xDrive40i,"15,996 mi.",4.9,"2,686 ","$58,977",Bill Jacobs BMW
2014 BMW 750 i,"62,530 mi.",4.3,"1,138 ","$27,598",AutoNation Chrysler Dodge Jeep Ram and FIAT North Phoenix
2018 BMW X3 M40i,"50,219 mi.",4.2,13 ,"$40,984",Patrick Mini
2019 BMW X5 xDrive40i,"30,483 mi.",4.6,10 ,"$59,500",Jaguar-Land Rover Sacramento
2016 BMW 750 i xDrive,"63,790 mi.",5.0,8 ,"$36,995",Sublime Motors
2019 BMW X3 M40i,"21,690 mi.",4.6,486 ,"$50,997",Beverly Hills BMW
2020 BMW X3 xDrive30i,"11,853 mi.",4.2,13 ,"$44,000",Patrick Mini
2014 BMW X3 xDrive28i,"99,239 mi.",4.8,186 ,"$16,917",Ultimate Motor Cars
2019 BMW 530 i,"20,551 mi.",4.5,443 ,"$43,743",BMW North Scottsdale
2018 BMW X5 sDrive35i,"36,760 mi.",4.8,741 ,"$45,398",Lauderdale BMW of Pembroke Pines
2018 BMW X5 xDrive35i,"15,617 mi.",4.7,248 ,"$46,350",Luxury Motor Club
2020 BMW X3 M40i,"1,739 mi.",4.4,584 ,"$58,988",Perillo BMW
2014 BMW 428 i xDrive,"63,598 mi.",4.5,611 ,"$19,888",Quality Auto Center of Springfield
2020 BMW X3 M40i,"12,646 mi.",4.1,551 ,"$54,997",Ed Napleton Acura Kia
2005 BMW X5 3.0i,"144,343 mi.",4.8,17 ,"$6,950",Revved Motors
2018 BMW 530 i,"14,397 mi.",4.4,72 ,"$39,479",EchoPark Automotive Long Beach
2018 BMW 340 i xDrive,"22,518 mi.",2.7,20 ,"$32,950",26 Motors Long Island
2016 BMW X3 xDrive35i,"80,668 mi.",4.7,197 ,"$26,214",Vidmar Honda
2016 BMW X5 xDrive50i,"28,649 mi.",2.4,3 ,"$40,491",Driveway - Auto Done Easy. Delivery for Dallas
2019 BMW 430 Gran Coupe i xDrive,"35,431 mi.",4.9,"2,686 ","$37,577",Bill Jacobs BMW
2016 BMW X6 M Base,"81,384 mi.",3.7,6 ,"$52,999",Amko Auto Temple Hills
2019 BMW X5 xDrive40i,"19,365 mi.",4.2,13 ,"$66,105",Patrick Mini
2019 BMW X5 xDrive40i,"24,562 mi.",4.8,488 ,"$59,488",BMW of Milwaukee North
2018 BMW 530 i xDrive,"32,746 mi.",3.6,67 ,"$40,980",MAG Midwestern Auto Group
2018 BMW X1 sDrive28i,"19,522 mi.",4.5,97 ,"$31,951",Passport Motors
2018 BMW X1 sDrive28i,"31,768 mi.",5.0,2 ,"$31,787",Go Luxury Auto Group
2018 BMW 340 i xDrive,"1,423 mi.",4.7,271 ,"$43,999",BMW of Ramsey
2020 BMW M550 i xDrive,"34,993 mi.",4.2,13 ,"$72,100",Patrick Mini
2016 BMW 750 i xDrive,"66,375 mi.",3.5,205 ,"$36,245",Northshore Motors
2018 BMW X5 sDrive35i,"22,828 mi.",4.8,"1,015 ","$48,751",INFINITI of Coconut Creek
2018 BMW 330 i xDrive,"29,001 mi.",4.7,706 ,"$35,579",BMW of Warwick
2019 BMW X4 M40i,"30,563 mi.",4.5,"1,691 ","$53,848",BMW of Fairfax
2021 BMW M440 i xDrive,"15,815 mi.",4.5,614 ,"$66,995",United BMW
2018 BMW X1 xDrive28i,"60,125 mi.",4.9,"1,652 ","$28,825",BMW of West St. Louis
2018 BMW X2 xDrive28i,"18,058 mi.",4.5,"1,193 ","$37,000",AutoMax Preowned Framingham
2019 BMW X5 xDrive40i,"43,259 mi.",4.2,13 ,"$52,785",Patrick Mini
2015 BMW 535 i,"66,929 mi.",4.5,"2,008 ","$22,997",HGreg.com Orlando
2019 BMW 740 i,"41,890 mi.",4.5,734 ,"$55,498",Texas Auto South
2021 BMW M440 i xDrive,"23,923 mi.",4.5,614 ,"$63,960",United BMW
2019 BMW X3 xDrive30i,"10,669 mi.",4.2,13 ,"$43,494",Patrick Mini
2018 BMW X5 M Base,"30,111 mi.",4.5,950 ,"$76,962",BMW of San Antonio
2021 BMW X1 xDrive28i,"9,553 mi.",4.9,"2,686 ","$39,877",Bill Jacobs BMW
2018 BMW 430 Gran Coupe i xDrive,"39,873 mi.",4.6,"2,695 ","$27,545",Paragon Acura
2015 BMW M4 Base,"77,473 mi.",4.7,702 ,"$41,995",Avon Auto Brokers
2019 BMW 740 i,"24,854 mi.",4.5,768 ,"$55,998",W.I. Simonson Inc.
2019 BMW 330 i xDrive,"16,199 mi.",4.7,803 ,"$45,092",Tulley Automotive Group
2015 BMW 428 i,"96,218 mi.",3.2,182 ,"$17,991",Karplus Warehouse Inc.
2019 BMW 330 i xDrive,"51,105 mi.",4.8,648 ,"$38,295",BMW of Stratham
2017 BMW 540 i,"34,680 mi.",4.7,768 ,"$38,944",BMW of Gwinnett Place
2018 BMW X5 xDrive35i,"36,051 mi.",4.8,488 ,"$48,784",BMW of Milwaukee North
2020 BMW X3 M40i,"14,309 mi.",4.4,584 ,"$59,998",Perillo BMW
2018 BMW X2 xDrive28i,"33,322 mi.",4.5,73 ,"$31,816",BMW of Mt. Laurel
2013 BMW X3 xDrive28i,"45,550 mi.",3.5,205 ,"$15,400",Northshore Motors
2018 BMW X1 sDrive28i,"33,910 mi.",4.7,142 ,"$31,618",Freeman Buick GMC
2020 BMW M550 i xDrive,"26,284 mi.",4.8,"4,595 ","$69,999",Motor Werks - Barrington Auto Mall
2018 BMW X3 M40i,"87,696 mi.",4.7,427 ,"$38,417",Advantage Acura of Naperville
2014 BMW 328d xDrive,"79,534 mi.",4.0,4 ,"$19,999",Hermes Auto Sales Inc
2020 BMW 330 i xDrive,"12,006 mi.",4.2,92 ,"$48,988",Boch Chevrolet
2019 BMW X5 xDrive40i,"18,099 mi.",4.9,"3,127 ","$60,396",BMW of Devon
2016 BMW 535 i,"59,041 mi.",3.4,24 ,"$18,999","Ournextcar, LLC"
2017 BMW X6 xDrive35i,"34,838 mi.",5.0,8 ,"$42,800",Sublime Motors
2019 BMW 530 i,"22,441 mi.",4.5,674 ,"$42,999",Larry H. Miller Ford Mesa
2015 BMW X5 M Base,"55,539 mi.",4.3,186 ,"$53,888",Star Motor Sales
2018 BMW X5 sDrive35i,"40,201 mi.",4.8,75 ,"$44,695",BMW of Fort Lauderdale
2018 BMW X5 sDrive35i,"23,501 mi.",4.7,684 ,"$49,000",Ocean Cadillac
2018 BMW M550 i xDrive,"56,697 mi.",4.8,822 ,"$45,873",South Shore BMW
2019 BMW X5 xDrive50i,"33,457 mi.",4.1,112 ,"$74,901",MINI of Knoxville
2018 BMW X5 M Base,"35,457 mi.",4.7,601 ,"$74,977",BMW of Tampa
2015 BMW 335 i,"79,037 mi.",3.0,4 ,"$18,995",Dart Auto Group
2019 BMW 530 i xDrive,"46,118 mi.",4.7,"1,099 ","$38,695",Passport BMW
2018 BMW M550 i xDrive,"20,409 mi.",4.4,140 ,"$54,000",Napleton's Mid Rivers Chrysler Jeep Dodge RAM Maserati
2018 BMW 540 i xDrive,"18,750 mi.",4.6,"1,102 ","$47,000",Alpha Motorsports Fredericksburg
2014 BMW 328 i xDrive,"76,555 mi.",4.5,73 ,"$16,890",BMW of Mt. Laurel
2018 BMW X5 M Base,"35,843 mi.",4.5,950 ,"$75,962",BMW of San Antonio
2019 BMW 540 i xDrive,"24,609 mi.",4.0,71 ,"$53,389",Princeton BMW
2019 BMW 540 i,"30,723 mi.",4.5,97 ,"$53,751",Passport Motors
2018 BMW 540 i xDrive,"20,982 mi.",4.9,"1,014 ","$52,999",Select Auto Imports
2018 BMW 330 i xDrive,"26,126 mi.",4.9,37 ,"$33,179",EchoPark Automotive Atlanta (Marietta)
2018 BMW X5 sDrive35i,"52,053 mi.",4.8,741 ,"$42,079",Lauderdale BMW of Pembroke Pines
2018 BMW 540 i,"19,712 mi.",4.7,463 ,"$44,965",Nick Alexander Imports
2018 BMW 530 i xDrive,"13,621 mi.",4.6,386 ,"$39,995",Fields BMW of Northfield
2016 BMW 535 i xDrive,"66,315 mi.",4.5,536 ,"$29,959",Union Park Honda BMW Buick GMC Volvo Cars Jaguar
2019 BMW X5 xDrive40i,"18,948 mi.",4.7,361 ,"$70,500",Gebhardt BMW
2018 BMW 530 i,"25,871 mi.",4.8,"1,197 ","$41,868",Richmond BMW
2019 BMW 540 i xDrive,"27,434 mi.",4.5,73 ,"$51,533",BMW of Mt. Laurel
2017 BMW X3 sDrive28i,"56,510 mi.",4.0,848 ,"$28,668",David McDavid Honda Irving
2020 BMW M340 i xDrive,"15,001 mi.",4.8,182 ,"$59,999",Glenview Luxury Imports
2016 BMW 328 i,"40,733 mi.",3.4,24 ,"$17,999","Ournextcar, LLC"
2013 BMW 328 i,"64,207 mi.",3.9,57 ,"$17,995",Cactus Jack's Auto Camelback
2018 BMW X2 sDrive28i,"45,121 mi.",4.7,134 ,"$30,200",Audi North Miami
2018 BMW X5 sDrive35i,"13,475 mi.",4.6,372 ,"$47,995",Sawgrass INFINITI
2016 BMW X6 M Base,"44,553 mi.",4.1,9 ,"$57,995",Imperial Highline
2019 BMW 530 i xDrive,"32,102 mi.",4.9,680 ,"$41,998",Paul Miller BMW
2019 BMW M550 i xDrive,"25,588 mi.",4.5,"1,691 ","$61,928",BMW of Fairfax
2017 BMW 320 i xDrive,"47,373 mi.",4.7,228 ,"$25,998",CarLotz Downers Grove
2021 BMW X5 xDrive40i,"12,095 mi.",4.8,186 ,"$68,995",Budget Car Sales
2018 BMW M2 Base,"12,912 mi.",4.9,"2,421 ","$55,988",Circle BMW
2020 BMW M340 i xDrive,"15,604 mi.",4.6,"1,141 ","$52,888",Huntley Ford
2017 BMW 320 i xDrive,"14,258 mi.",4.8,"1,032 ","$27,750",McGrath Acura of Libertyville
2019 BMW X3 xDrive30i,"33,741 mi.",4.2,13 ,"$39,871",Patrick Mini
2015 BMW M4 Base,"51,672 mi.",1.0,2 ,"$43,489",Jeff Wyler Springfield Chrysler Dodge Jeep RAM
2018 BMW M550 i xDrive,"14,474 mi.",4.6,904 ,"$64,988",All Star Dodge Chrysler Jeep RAM
2020 BMW X5 xDrive40i,"14,630 mi.",4.1,17 ,"$64,995",Sawyer Lyons Buick GMC of Randolph
2018 BMW 530 i,"19,275 mi.",4.8,485 ,"$41,498",BMW of Delray Beach
2018 BMW X2 xDrive28i,"35,737 mi.",4.7,803 ,"$34,955",Tulley Automotive Group
2018 BMW X3 xDrive30i,"20,712 mi.",4.8,"4,595 ","$41,900",Motor Werks - Barrington Auto Mall
2017 BMW X3 sDrive28i,"19,902 mi.",4.6,135 ,"$34,900",THE COLLECTION
2018 BMW X6 xDrive50i,"19,643 mi.",4.5,97 ,"$64,951",Passport Motors
2019 BMW X5 xDrive40i,"23,350 mi.",4.3,163 ,"$65,997",Sewell BMW MINI of Plano
2018 BMW M5 Base,"34,593 mi.",4.6,377 ,"$82,432",BMW of Orland Park
2019 BMW 540 i xDrive,"32,207 mi.",4.5,341 ,"$53,980",BMW of Atlantic City
2018 BMW X2 xDrive28i,"19,639 mi.",4.8,"3,609 ","$35,290",Acton Toyota of Littleton
2019 BMW 440 Gran Coupe i,"19,708 mi.",2.1,8 ,"$45,997",Century Automotive
2018 BMW X5 xDrive35i,"41,103 mi.",4.7,415 ,"$38,233",BMW Mt. Kisco
2020 BMW X5 xDrive40i,"17,605 mi.",4.9,"3,127 ","$64,983",BMW of Devon
2020 BMW M340 i xDrive,"20,085 mi.",4.2,13 ,"$57,511",Patrick Mini
2018 BMW X5 xDrive35i,"30,730 mi.",4.7,"1,633 ","$47,852",Motorwerks BMW
2018 BMW X5 xDrive35i,"29,529 mi.",4.4,"1,526 ","$44,998",Stevens Creek BMW
2012 BMW X3 xDrive28i,"33,100 mi.",2.3,9 ,"$18,498",Frontline Motors
2019 BMW 540 i xDrive,"26,883 mi.",4.5,341 ,"$46,980",BMW of Atlantic City
2007 BMW 335 i,"64,451 mi.",3.8,75 ,"$13,990",Carmel Motors
2018 BMW 530 i,"28,074 mi.",4.8,"1,197 ","$41,355",Richmond BMW
2019 BMW X5 xDrive40i,"17,891 mi.",4.9,115 ,"$58,993",Mercedes-Benz of Music City
2019 BMW M550 i xDrive,"17,830 mi.",4.4,726 ,"$64,889",BMW of Alexandria
2019 BMW M4 Base,"25,301 mi.",4.8,295 ,"$66,991",Bob Smith BMW
2014 BMW 428 i xDrive,"52,402 mi.",4.7,79 ,"$27,950",Beverly Hills Auto Group
2016 BMW 535 i xDrive,"63,864 mi.",4.8,884 ,"$27,322",Audi Wilmington
2018 BMW i3 94 Ah w/Range Extender,"9,991 mi.",4.6,120 ,"$31,495",Landmark Motors
2018 BMW X1 sDrive28i,"19,185 mi.",4.9,762 ,"$29,599",Florida Fine Cars Margate
2018 BMW X1 xDrive28i,"13,583 mi.",4.4,584 ,"$36,488",Perillo BMW
2018 BMW X5 sDrive35i,"50,523 mi.",4.7,584 ,"$44,390",Earth Motorcars
2018 BMW 320 i,"23,902 mi.",4.7,601 ,"$27,977",BMW of Tampa
2018 BMW X5 sDrive35i,"30,153 mi.",4.8,"2,925 ","$44,899",Florida Fine Cars Miami
2018 BMW 540 i,"18,173 mi.",4.5,97 ,"$48,951",Passport Motors
2013 BMW M3 Base,"35,836 mi.",4.7,437 ,"$36,500",Hopper Motorplex
2019 BMW X5 xDrive40i,"34,802 mi.",4.7,803 ,"$61,577",Tulley Automotive Group
2009 BMW 335 i xDrive,"84,397 mi.",3.8,44 ,"$8,499",Prestige Imports Auto Sales
2019 BMW 330 i,"18,580 mi.",4.7,768 ,"$37,988",BMW of Gwinnett Place
2018 BMW X1 sDrive28i,"48,358 mi.",4.9,"20,592 ","$28,749",Off Lease Only Miami
2012 BMW Z4 sDrive28i,"41,425 mi.",4.7,601 ,"$23,977",BMW of Tampa
2010 BMW 128 i,"133,262 mi.",3.7,152 ,"$9,495",WBM of Arlington
2017 BMW X3 sDrive28i,"58,736 mi.",3.6,852 ,"$25,888",Peoria Ford
2018 BMW X5 xDrive35i,"40,055 mi.",4.7,248 ,"$46,450",Luxury Motor Club
2021 BMW X7 xDrive40i,"13,737 mi.",4.7,706 ,"$82,550",BMW of Warwick
2018 BMW X2 sDrive28i,"26,195 mi.",4.5,614 ,"$31,995",United BMW
2019 BMW 750 i xDrive,"23,976 mi.",4.8,76 ,Not Priced,"LuxSport Motor Group, LLC."
2019 BMW X3 xDrive30i,"12,239 mi.",4.2,13 ,"$42,995",Patrick Mini
2019 BMW 430 Gran Coupe i xDrive,"57,682 mi.",4.8,791 ,"$32,587",INFINITI of Orland Park A Zeigler Auto Group Company
2018 BMW X3 xDrive30i,"16,486 mi.",4.5,73 ,"$42,970",BMW of Mt. Laurel
2019 BMW X5 xDrive40i,"33,258 mi.",4.9,"3,333 ","$57,999",Fair Oaks Ford Lincoln
2019 BMW X5 xDrive50i,"12,298 mi.",4.3,33 ,"$76,892",Global Motorsports Inc
2016 BMW 535 i xDrive,"56,183 mi.",3.9,432 ,"$27,698",Rosenthal Fairfax Honda
2019 BMW X5 xDrive40i,"14,934 mi.",4.5,431 ,"$61,998",BMW of Nashville
2019 BMW X3 M40i,"15,359 mi.",4.6,486 ,"$53,999",Beverly Hills BMW
2014 BMW 328 i xDrive,"84,245 mi.",4.6,"1,672 ","$20,465",Brunswick Auto Mart
2019 BMW 540 i xDrive,"19,545 mi.",4.3,74 ,"$48,987",BMW of Bloomfield
2018 BMW X2 sDrive28i,"27,423 mi.",4.5,614 ,"$29,995",United BMW
2014 BMW X3 xDrive28i,"81,140 mi.",4.7,56 ,"$19,430",Select Auto of Charlotte
2019 BMW X7 xDrive50i,"64,978 mi.",4.8,268 ,"$79,641",Infiniti of Clearwater
2019 BMW X4 M40i,"16,386 mi.",4.9,"1,014 ","$59,999",Select Auto Imports
2019 BMW 540 i,"20,501 mi.",4.8,295 ,"$50,999",BMW Fresno
2018 BMW X3 xDrive30i,"18,176 mi.",4.2,13 ,"$42,000",Patrick Mini
2019 BMW X3 M40i,"17,810 mi.",4.4,77 ,"$56,788",BMW of Loveland
2021 BMW X2 xDrive28i,"9,636 mi.",4.9,"2,686 ","$38,577",Bill Jacobs BMW
2018 BMW 340 i,"30,275 mi.",4.7,"1,178 ","$46,995",BMW West Palm Beach
2018 BMW X2 xDrive28i,"51,966 mi.",4.9,"1,882 ","$31,995",Foley Motorsports
2018 BMW 340 i xDrive,"22,161 mi.",4.1,110 ,"$44,990",D & C Motor Company
2019 BMW M240 i xDrive,"27,535 mi.",4.8,"1,931 ","$49,995",Knauz Auto Park
2013 BMW X5 xDrive35i,"49,250 mi.",2.1,8 ,"$22,995",Century Automotive
2017 BMW X6 M Base,"47,461 mi.",4.6,"3,233 ","$59,532","Rothrock Nissan, Chrysler, Dodge, Jeep, RAM"
2018 BMW X1 sDrive28i,"19,157 mi.",4.5,295 ,"$32,995",BMW of Honolulu
2019 BMW X6 xDrive35i,"29,323 mi.",4.5,97 ,"$64,751",Passport Motors
2018 BMW M550 i xDrive,"62,130 mi.",4.8,"1,225 ","$47,250","Napleton Hyundai, Genesis of Hazelwood"
2017 BMW 340 i xDrive,"54,328 mi.",3.6,387 ,"$32,500",Certified Luxury Motors
